TIPOENTIDAD;CODIGOENTIDAD;NOMBREENTIDAD;FECHACORTE;TASA;MONTO
1;1;BANCO DE BOGOTA ;2/1/2018;4.77;15,784,270
1;1;BANCO DE BOGOTA ;3/1/2018;4.82;14,664,331
1;1;BANCO DE BOGOTA ;4/1/2018;4.58;9,616,842
1;1;BANCO DE BOGOTA ;5/1/2018;4.66;14,426,755
1;1;BANCO DE BOGOTA ;9/1/2018;4.77;11,691,688
1;1;BANCO DE BOGOTA ;10/1/2018;4.5;12,454,836
1;1;BANCO DE BOGOTA ;11/1/2018;4.69;11,289,297
1;1;BANCO DE BOGOTA ;12/1/2018;5.14;47,095,866
1;1;BANCO DE BOGOTA ;15/1/2018;4.6;10,916,253
1;1;BANCO DE BOGOTA ;16/1/2018;4.69;9,425,939
1;1;BANCO DE BOGOTA ;17/1/2018;5.04;17,933,469
1;1;BANCO DE BOGOTA ;18/1/2018;4.57;9,795,800
1;1;BANCO DE BOGOTA ;19/1/2018;4.84;18,152,662
1;1;BANCO DE BOGOTA ;22/1/2018;5.17;37,038,561
1;1;BANCO DE BOGOTA ;23/1/2018;4.94;16,140,702
1;1;BANCO DE BOGOTA ;24/1/2018;4.49;11,462,401
1;1;BANCO DE BOGOTA ;25/1/2018;4.56;10,111,272
1;1;BANCO DE BOGOTA ;26/1/2018;4.84;14,452,207
1;1;BANCO DE BOGOTA ;29/1/2018;4.81;10,175,249
1;1;BANCO DE BOGOTA ;30/1/2018;4.89;27,496,882
1;1;BANCO DE BOGOTA ;31/1/2018;4.47;5,018,713
1;1;BANCO DE BOGOTA ;1/2/2018;4.54;6,488,471
1;1;BANCO DE BOGOTA ;2/2/2018;4.53;9,547,707
1;1;BANCO DE BOGOTA ;5/2/2018;4.95;16,238,157
1;1;BANCO DE BOGOTA ;6/2/2018;4.54;7,612,583
1;1;BANCO DE BOGOTA ;7/2/2018;4.43;7,962,689
1;1;BANCO DE BOGOTA ;8/2/2018;4.71;10,347,552
1;1;BANCO DE BOGOTA ;9/2/2018;4.66;13,999,518
1;1;BANCO DE BOGOTA ;12/2/2018;5.02;19,100,117
1;1;BANCO DE BOGOTA ;13/2/2018;4.93;12,682,173
1;1;BANCO DE BOGOTA ;14/2/2018;4.72;15,394,930
1;1;BANCO DE BOGOTA ;15/2/2018;4.66;10,174,333
1;1;BANCO DE BOGOTA ;16/2/2018;5.01;31,562,915
1;1;BANCO DE BOGOTA ;19/2/2018;5.09;26,099,270
1;1;BANCO DE BOGOTA ;20/2/2018;5.17;20,742,896
1;1;BANCO DE BOGOTA ;21/2/2018;4.61;10,008,744
1;1;BANCO DE BOGOTA ;22/2/2018;4.79;13,433,813
1;1;BANCO DE BOGOTA ;23/2/2018;3.98;100,902,930
1;1;BANCO DE BOGOTA ;26/2/2018;4.94;14,176,391
1;1;BANCO DE BOGOTA ;27/2/2018;5.27;95,678,189
1;1;BANCO DE BOGOTA ;28/2/2018;4.8;38,362,297
1;1;BANCO DE BOGOTA ;1/3/2018;4.81;14,450,792
1;1;BANCO DE BOGOTA ;2/3/2018;4.41;9,734,286
1;1;BANCO DE BOGOTA ;5/3/2018;5.28;57,428,750
1;1;BANCO DE BOGOTA ;6/3/2018;4.65;9,169,147
1;1;BANCO DE BOGOTA ;7/3/2018;4.96;19,527,199
1;1;BANCO DE BOGOTA ;8/3/2018;4.45;6,729,635
1;1;BANCO DE BOGOTA ;9/3/2018;5.29;81,899,012
1;1;BANCO DE BOGOTA ;12/3/2018;4.82;14,174,622
1;1;BANCO DE BOGOTA ;13/3/2018;5.17;75,725,881
1;1;BANCO DE BOGOTA ;14/3/2018;5.1;27,933,560
1;1;BANCO DE BOGOTA ;15/3/2018;3.93;49,990,119
1;1;BANCO DE BOGOTA ;16/3/2018;4.73;24,888,967
1;1;BANCO DE BOGOTA ;20/3/2018;4.87;16,648,863
1;1;BANCO DE BOGOTA ;21/3/2018;5.06;22,335,937
1;1;BANCO DE BOGOTA ;22/3/2018;4.73;12,248,379
1;1;BANCO DE BOGOTA ;23/3/2018;3.67;60,279,633
1;1;BANCO DE BOGOTA ;26/3/2018;4.77;9,412,356
1;1;BANCO DE BOGOTA ;27/3/2018;4.92;33,010,693
1;1;BANCO DE BOGOTA ;28/3/2018;4.78;19,434,462
1;1;BANCO DE BOGOTA ;2/4/2018;4.53;17,359,189
1;1;BANCO DE BOGOTA ;3/4/2018;5.25;43,880,600
